team1,team2,possession team1,possession team2,possession in contest,goals team1,goals team2,date,hour,category,attempts team1,attempts team2,total attempts,scored team1,scored team2,total goals,Shot Conversion team1,Shot Conversion team2,goal inside the penalty area team1,goal inside the penalty area team2,total goals inside penalty area,goal outside the penalty area team1,goal outside the penalty area team2,total goals outside penalty area,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,total attempts inside penalty area,attempts outside the penalty area team1,attempts outside the penalty area team2,total attempts outside penalty area,yellow cards team1,yellow cards team2,total yellow cards,red cards team1,red cards team2,total red cards,fouls by team1,fouls by team2,total fouls,offsides team1,offsides team2,total offsides,passes team1,passes team2,total passes,passes completed team1,passes completed team2,crosses team1,crosses team2,total crosses,crosses completed team1,crosses completed team2,corners team1,corners team2,total corners,free kicks team1,free kicks team2,total free kicks,penalties scored team1,penalties scored team2,total penalties scored,goal preventions team1,goal preventions team2,own goals team1,own goals team2,total own goals
BRAZIL,SERBIA,53%,34%,13%,2,0,24-11-2022,20:00:00,Group Stage,24,4,28,2,0,2,8%,0%,2,0,2,0,0,0,1,0,10,0,9,3,11,1,12,13,3,16,0,3,3,0,0,0,12,7,19,1,0,1,585,403,988,526,341,19,13,32,3,3,6,4,10,12,8,20,0,0,0,4,24,0,0,0
WALES,IRAN,51%,33%,16%,0,2,25-11-2022,11:00:00,Group Stage,10,21,31,0,2,2,0%,10%,0,1,1,0,1,1,0,1,3,6,4,6,5,7,12,5,14,19,1,2,3,1,0,1,10,9,19,2,2,4,508,295,803,413,202,20,26,46,5,4,2,7,9,12,11,23,0,0,0,21,9,0,0,0
QATAR,SENEGAL,42%,48%,10%,1,3,25-11-2022,14:00:00,Group Stage,10,12,22,1,3,4,10%,25%,1,3,4,0,0,0,1,2,2,4,7,6,4,10,14,6,2,8,3,3,6,0,0,0,12,7,19,4,3,7,424,511,935,353,445,18,20,38,5,6,6,7,13,15,11,26,0,0,0,12,11,0,0,0
NETHERLANDS,ECUADOR,48%,39%,13%,1,1,25-11-2022,17:00:00,Group Stage,2,13,15,1,1,2,50%,8%,0,1,1,1,0,1,1,0,1,5,1,3,0,8,8,2,5,7,0,1,1,0,0,0,12,15,27,1,4,5,524,425,949,451,345,8,22,30,0,4,2,5,7,16,16,32,0,0,0,14,2,0,0,0
ENGLAND,UNITED STATES,51%,40%,9%,0,0,25-11-2022,20:00:00,Group Stage,8,10,18,0,0,0,0%,0%,0,0,0,0,0,0,0,0,3,2,4,7,6,6,12,2,4,6,0,0,0,0,0,0,15,9,24,1,0,1,550,427,977,488,368,13,16,29,4,2,3,7,10,15,10,25,0,0,0,10,8,0,0,0
TUNISIA,AUSTRALIA,50%,31%,19%,0,1,26-11-2022,11:00:00,Group Stage,13,8,21,0,1,1,0%,13%,0,1,1,0,0,0,0,1,4,2,5,3,9,5,14,4,3,7,3,0,3,0,0,0,15,16,31,3,0,3,501,334,835,396,239,23,23,46,5,4,5,2,7,15,19,34,0,0,0,9,13,0,0,0
POLAND,SAUDI ARABIA,30%,57%,14%,2,0,26-11-2022,14:00:00,Group Stage,8,16,24,2,0,2,25%,0%,2,0,2,0,0,0,1,0,3,5,3,9,8,9,17,0,7,7,3,2,5,0,0,0,15,18,33,0,0,0,303,560,863,236,494,19,24,43,8,4,4,5,9,15,17,32,0,0,0,16,9,0,0,0
FRANCE,DENMARK,44%,44%,12%,2,1,26-11-2022,17:00:00,Group Stage,21,10,31,2,1,3,10%,10%,2,1,3,0,0,0,2,1,6,2,8,6,16,5,21,5,5,10,1,2,3,0,0,0,9,4,13,1,1,2,503,537,1040,437,473,23,18,41,12,4,6,4,10,10,5,15,0,0,0,10,21,0,0,0
ARGENTINA,MEXICO,50%,36%,14%,2,0,26-11-2022,20:00:00,Group Stage,5,4,9,2,0,2,40%,0%,1,0,1,1,0,1,2,0,2,1,3,2,2,1,3,3,3,6,1,4,5,0,0,0,19,15,34,2,4,6,533,356,889,464,287,14,17,31,2,4,4,2,6,23,17,40,0,0,0,4,5,0,0,0
JAPAN,COSTA RICA,48%,39%,13%,0,1,27-11-2022,11:00:00,Group Stage,14,4,18,0,1,1,0%,25%,0,1,1,0,0,0,0,1,3,1,4,1,7,1,8,7,3,10,3,3,6,0,0,0,9,22,31,0,2,2,575,444,1019,510,371,17,5,22,1,0,5,0,5,11,22,33,0,0,0,4,14,0,0,0
